Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form, Strength
478410e8-5fcd-46c3-a0c9-e893dbddc7c1,,ABIRATERONE 250mg TAB,0a3d1ea2-0b61-48d7-826b-60ec6cf04171,TABLET ,250mg
5b1bdf82-a945-444c-8f24-69643ebbc839,,ALLOPURINOL 100MG TAB,6d0c7405-5ef4-4469-b6ba-f18f108ea6f9,TABLET,100mg
f6038bf3-97b5-4ae6-ae34-fd46d9180ea1,,ARIPIPRAZOLE 15mg TAB,96d438db-360a-451a-a114-df8f8e1ef65d,TABLET,15mg
ff276a39-159b-414d-943c-bf22862c2694,,AZATHIOPRINE 50mg TAB,fe88a6fa-db8f-4bf7-b18c-1a36f60b3f75,TABLET,50mg
78a9edc3-5700-424a-91da-12e6efce8cda,,ACETAZOLAMIDE 250mg TAB,bdaa4838-c84a-4484-87fe-40dc990080a8,TABLET,250mg
7d971763-3c9d-4b1c-8f92-d3a78b135338,,ACETYLCYSTEINE INJECTION 200mg/ml,5ae46480-e984-4f2f-b1e0-de666e216628,SOLUTION FOR INJECTION,
fee2876b-4672-4dfa-ba92-c3fef849f846,,ACICLOVIR PFI 250mg VIAL,a8971174-1350-11df-a1f1-0026b9348838,VIAL,250mg
cd331cc3-5db4-4fa3-be7f-36e5ee10d567,,ACYCLOVIR 400mg TAB,a8971174-1350-11df-a1f1-0026b9348838,TABLET,400mg
87d3c1d1-7994-4b3a-bf1a-24e4bf36ebf6,,AZELASTINE EYE DROPS 0.05%,3b22e4f6-1315-4fd9-8795-efd4b3f4aa4a,DROPS,0.05%
5ef10952-a506-41fe-aa58-defe0c643b88,,BROMAZEPAM 3mg TAB,421492f2-55cb-4c3d-a839-7ee50838c1a3,TABLET,3mg
096f0ed6-8959-4fe5-8484-17d1ab804143,,BUDESONIDE 200mcg MDI,18eb14c1-606b-4835-82a8-c0ee9499c57f,MDI,200mcg
8ed21cb4-436a-433e-b8f0-c1d14fd33e1d,,BUDESONIDE 100mcg AND FORMOTEROL 6mcg MDI,6ae0e4c7-a191-49fc-96df-abbea8118b70,MDI,
d1235c45-de09-462b-9883-b16f499e066e,,BUDESONIDE 160mcg AND FORMOTEROL 4.5mcg DPI,6ae0e4c7-a191-49fc-96df-abbea8118b70,POWDERS,
647bc567-8a3e-4925-8625-4f9ab77c1ca6,,BUDESONIDE 200mcg AND FORMOTEROL 6mcg DPI,6ae0e4c7-a191-49fc-96df-abbea8118b70,POWDERS,
a6964ee1-0fb3-48f2-a5b3-014a74b7547e,,CEFTAZIDIME INJECTION 1g,cb1a6faf-07d0-4bb0-91d1-c023c07950a4,RECONSTITUTED POWDER FOR INJECTION,
6ad97a09-7213-4210-bbbc-0f7163b10a35,,CHLORHEXIDINE GLUCONATE 0.2%,c76a4bbb-7274-4457-8957-ef711af051b2,,
71e11e48-9ee9-42f5-8180-2e52f4dc2e3e,,CHLORHEXIDINE GLUCONATE 5%,c76a4bbb-7274-4457-8957-ef711af051b2,,
ecb267e7-3659-47b5-886d-74958775a457,,CIPROFLOXACIN 0.3% AND DEXAMETHASONE 0.1% DROPS,7bb65bd4-864a-4d9a-9586-384c49ae1cdb,DROPS,
5f3c07ab-6a97-44c3-9259-cb92e31bb04e,,CHOLECALCIFEROL 400iu/ml,93a08e20-86f3-4144-9bc0-eedc5a3f5986,DROPS,
d39d5db0-4cad-4f2a-82db-2a43090c4169,,CIPROFLOXACIN SOLUTION 2mg/ml,a8971836-1350-11df-a1f1-0026b9348838,SOLUTION FOR INJECTION,
c4d2ef45-acbb-4ecd-bc23-599627828caf,,CLINDAMYCIN 150mg CAP,52e0e230-cfaf-4301-8fc5-cc4c2383de10,CAPSULE,150mg
909cf56f-4767-4adb-b432-47ef286f98b3,,CLINDAMYCIN INJECTION 150mg/ml,52e0e230-cfaf-4301-8fc5-cc4c2383de10,SOLUTION FOR INJECTION,
c176377c-bf63-44ea-a228-87576ee28d10,,CLOMIPHENE CITRATE 50mg TAB,4028483e-643b-4189-8068-61abfc5d6ccf,TABLET,50mg
441e98ae-9c36-414e-a635-69a8f3a2351a,,CLOTRIMAZOLE 1% DROPS,a898b8d0-1350-11df-a1f1-0026b9348838,DROPS,1%
07f7a539-9901-4f4c-8a2a-43722ae76bf5,,CYCLOSPORIN 100mg CAP,391a7952-534f-48a2-973e-d7a1198fecb4,CAPSULE,100mg
b767c369-a668-4a15-8326-9040aa6721be,,CYCLOSPORIN 25mg CAP,391a7952-534f-48a2-973e-d7a1198fecb4,CAPSULE,25mg
3da533d6-cba6-43a8-8174-75ce1d46e179,,DEXAMETHASONE INJECTION 4mg/ml,4b9c960f-4027-45c1-9039-486c72570c18,SOLUTION FOR INJECTION,
21a5f955-b599-487f-9c98-0f628760bb2d,,DEXKETOPROFEN 25mg TAB SCORED,dba3b780-3841-4ab7-af09-7f27a9120e4b,TABLET,25mg
ccc6e167-2b42-4f47-a6fd-a8a935f8dd33,,DIHYDROCODEINE TARTRATE 30mg TAB ,192ec3dc-1dcc-4231-9946-b28db09503c0,TABLET,30mg
d39aa40e-0156-474b-ac80-18f1cb2ec522,,DIVALPROEX SODIUM 500mg TAB,02212007-4646-414b-8116-9b3b2ed8ef75,TABLET,500mg
b0719396-37eb-496a-90fc-89ad3a712163,,DOMPERIDONE 1mg/ml SYRUP,a898b7fe-1350-11df-a1f1-0026b9348838,SYRUP,
e8cce1fc-2bcc-415b-898b-57a32878dab4,,ENOXAPARIN SODIUM 40mg/0.4 ml INJECTION,7780d18a-7760-4b7c-b61d-e34ba573d3dc,SOLUTION FOR INJECTION,
8e25b5f9-ddf6-4515-84b5-74f6cdffecd5,,EPHEDRINE HCL INJ. 30mg/ml,a6e36b7b-a0c9-499c-a8c7-23a76b77cb5d,SOLUTION FOR INJECTION,
4635ea99-5994-41ba-9027-c7de30761c5c,,ESCITALOPRAM 10mg TAB,c47791d4-7d75-4a3c-92e5-070e48126e85,TABLET,10mg
2a9d5d12-bee4-4b9d-8590-3a7b05552c57,,ETHANOL (DENATURED) - 70%,41412527-61ae-4ed2-97fb-66964c9c2d23,,
c06d3e86-bbda-48cb-ab83-f3a15868b087,,FORMALDEHYDE 40% SOLUTION,39465e89-7f70-4ce0-a09b-2e1b4a360b1f,,
178f589c-fd55-455c-a346-1331c1633beb,,GENTAMICIN INJECTION 10mg/ml,a890d02a-1350-11df-a1f1-0026b9348838,SOLUTION FOR INJECTION,
bb4db3be-59a0-401a-9c7e-04227fd35d29,,GENTAMICIN INJECTION 40mg/ml,a890d02a-1350-11df-a1f1-0026b9348838,SOLUTION FOR INJECTION,
9eacbd21-8f8c-4354-82b2-32a6c836b7af,,GENTAMICIN SULPHATE SOLUTION DROPS 0.3 % ,54776f7f-be4d-422c-9d21-e52991b648c7,DROPS,0.3 %
d1a229bc-5a76-4511-8eba-cfe514c8bf64,,BUDESONIDE PRESSURIZED 100mcg MDI,18eb14c1-606b-4835-82a8-c0ee9499c57f,MDI,100mcg
fcf30696-2577-49de-a428-8d2dd6245bb9,,CAFFEINE CITRATE 10mg/ml INJECTION,2b8ae11b-d525-49bb-ac90-263750078653,SOLUTION FOR INJECTION,
ffceb500-cab6-4a26-961c-5314ebe2be76,,CEFTAZIDIME INJECTION 1g,2b8ae11b-d525-49bb-ac90-263750078653,SOLUTION FOR INJECTION,1g
fd7fe7e7-ad28-4d4f-af30-6fc89ea71ca9,,FLUOROMETHOLONE EYE DROPS 0.1% W/V 5ml,1c1d08b1-1721-49be-851e-d10257a96c79,DROPS,
503e4573-72d9-4ac3-a8c9-19775ed16ddb,,FLUPENTIXOL DECANOATE INJ. 20mg/ml,dd4076c0-4453-46c6-8768-02d85680f546,SOLUTION FOR INJECTION,
02b74944-5e5a-43d8-b0cd-85b1f5965b5c,,GENTAMICIN SULPHATE SOLUTION  0.3 % W/V,54776f7f-be4d-422c-9d21-e52991b648c7,DROPS,
c3020052-798a-4fcc-8cd5-a9f4220542e2,,GLYCOPYRRONIUM INJECTION  200mcg /ml,5de390c4-d286-49a1-816a-49f3c45b7896,SOLUTION FOR INJECTION,
c4422fb6-c2f9-4924-8fbb-a204020e5f25,,HEPARIN SODIUM INJECTION 5000 iu/ml,6cd3eb90-d1a2-4573-af9a-2217bdfd5d54,SOLUTION FOR INJECTION,
a04ad355-826b-4960-9114-b8e0f15ae792,,HYOSCINE BUTYLBROMIDE 10mg TAB,a895260c-1350-11df-a1f1-0026b9348838,TABLET,10mg
694b5411-ef41-414f-9dd6-49a5f41f5689,,INDAPAMIDE TAB 1.5mg,2ce527d3-2b5f-4c82-8061-b4774e5e5bda,TABLET,1.5mg
70facff7-5879-4149-b35d-de99e8350025,,INDAPAMIDE 1.5mg AND AMLODIPINE 10mg TAB,ba7cb147-c4b7-4fc6-a0a4-f0f809a041fb,TABLET,
f042f29f-c88d-4b13-8095-f97a1617ea02,,INDAPAMIDE 1.5mg AND AMLODIPINE 5mg TAB,ba7cb147-c4b7-4fc6-a0a4-f0f809a041fb,TABLET,
86614032-4789-4d91-ae17-bcb81aac0be2,,INDAPAMIDE 1.25mg AND PERINDOPRIL 5mg TAB,3c436928-7ba2-491e-a904-8cc8ee093fe3,TABLET,
06456070-146f-483e-adb6-631f77f64c4d,,INDAPAMIDE 2.5mg AND PERINDOPRIL 10mg TAB,3c436928-7ba2-491e-a904-8cc8ee093fe3,TABLET,
b0b37b85-4169-4eed-898b-afdd3434a922,,ISOFLURANE LIQUID FOR INHALATION,cbcb934c-e5e1-493a-89a1-34f1dd050776,,
99a68514-9f65-454c-9f30-2e1873cba04b,,KETAMINE INJECTION 50mg/ml ,5756d9c6-1b2b-4348-b76d-92ebb966dfb3,SOLUTION FOR INJECTION,
246ff13d-8fb8-42cb-8911-e85f0b9311b1,,KETOROLAC INJECTION 30mg/ml,687fada4-ad55-449f-9076-221bf59778d5,SOLUTION FOR INJECTION,
c16e4951-d9a8-49d9-8dd0-dcc6ca85859e,,KETOROLAC SOLUTION EYE DROPS 0.5% ,687fada4-ad55-449f-9076-221bf59778d5,DROPS,
b63f28a5-09f6-48b3-a564-0c0d7b31334a,,LAMOTRIGINE 25mg TAB,ea44b13f-c0a6-4647-a8c9-19f887e1152f,TABLET,25mg
af41b683-907b-489c-bd54-9eb92a169a95,,LAMOTRIGINE 100mg TAB,ea44b13f-c0a6-4647-a8c9-19f887e1152f,TABLET,100mg
3837ef41-4dda-4789-9650-56db4e53834e,,LANSOPRAZOLE DISPERSIBLE TAB15mg,a8972240-1350-11df-a1f1-0026b9348838,TABLET,15mg
c5cb070e-57c5-49ca-b89f-4bc599f2d3aa,,LEFLUNOMIDE TAB 20mg,55c378af-da9f-4d6e-b524-3826ddcc2e65,TABLET,20mg
6d1894ea-6daa-45f5-ae12-bc021a2a7955,,LEVETIRACETAM TAB 250mg,34e722b4-2152-4885-a95c-23bdd3bbe0b0,TABLET,250mg
54eb7a75-3547-4fab-9415-fcca9c38fc0d,,LEVETIRACETAM TAB 500mg,34e722b4-2152-4885-a95c-23bdd3bbe0b0,TABLET,500mg
5224a38d-b770-4c4d-ad4f-67ceaef9b2a5,,LEVETIRACETAM INJECTION 100mg/ml,34e722b4-2152-4885-a95c-23bdd3bbe0b0,SOLUTION FOR INJECTION,100mg/ml
796c2c83-4f42-4340-ba94-dee0ad3faef4,,LEVOFLOXACIN TAB 500mg,a89725a6-1350-11df-a1f1-0026b9348838,TABLET,500mg
b1ac9978-5c50-4d18-95e6-714872a81ae9,,LEVOTHYROXINE 100mcg,a72e7bae-f7b5-48e8-9a0c-67af9800aa82,TABLET,100mcg
b4175527-0ab7-4c07-9842-5f690bad2104,,LIGNOCAINE HYDROCHLORIDE INJ. 1%,6c8ad52d-826c-40e8-a29d-94ed0fbe8aea,SOLUTION FOR INJECTION,1%
95776689-3c3f-4f38-9226-07c4b1895dd3,,LIGNOCAINE HYDROCHLORIDE INJ. 2%,6c8ad52d-826c-40e8-a29d-94ed0fbe8aea,SOLUTION FOR INJECTION,2%
f39b6964-1f06-4635-bf08-124ced762e04,,LINEZOLID INJECTION 2mg/ml,3f5f496b-1619-4452-adbf-841a1b0ea5ce,SOLUTION FOR INJECTION,2mg/ml